geo,TIME_PERIOD,Network_length_KM,Consignment_full_train_load_THS_T,Consignment_full_wagon_load_THS_T,Consignment_total_THS_T,uncertainty_estimate_NL,uncertainty_estimate_FULL_TR,uncertainty_estimate_FULL_WG,uncertainty_estimate_TOTAL,population,uncertainty_estimate_POP,land_area_km2,km_per_million_people,km_per_1000_sqkm
DE,2017,38802.643,240100.0,124033.0,364132.0,,,,,82521653.0,,357568.0,470.2116546308155,108.51822031054232
DE,2018,38994.798,280570.0,107325.0,387895.0,,,,,82792351.0,,357569.0,470.9951768370487,109.05530960457982
DE,2019,39068.117,267322.0,99868.0,367190.0,,,,,83019213.0,,357569.0,470.5912714445992,109.26035814066655
DE,2020,38799.773,258498.8184794349,110767.27976998014,369265.7766720334,,8438.19152224884,5290.041062846579,7163.884511065024,83166711.0,,357569.0,466.5300879819571,108.50989039877618
DE,2021,38783.143,257828.7246857953,111713.2764801256,369541.6600217156,,9493.89545133233,5951.879284418061,8060.159433437818,83155031.0,,357569.0,466.39562914720096,108.46338189272558
DE,2022,38836.096,257158.6308921558,112659.27319027108,369817.5433713977,,10577.83267610458,6631.417418955521,8980.403968362998,83237124.0,,357569.0,466.57181475900103,108.61147358971274
DE,2023,38691.0,256488.53709851624,113605.26990041652,370093.4267210799,,11682.14689235945,7323.730221070989,9917.948241220913,83118501.0,,357569.0,465.492032874847,108.2056889719187
DE,2024,39046.32693667335,255818.4433048767,114551.266610562,370369.310070762,134.60625683572547,12801.56578367748,8025.512389629109,10868.316140694382,83456045.0,,357569.0,467.8669704114705,109.19941867632079
IT,2008,16529.0,55967.0,9912.0,65888.0,,,,,61424519.436554566,126037.56402096798,302073.0,269.09449437488587,54.71856140734194
IT,2009,16686.0,43207.0,6308.0,62269.0,,,,,61266113.26463638,115494.33808397852,302073.0,272.35284092407704,55.23830332403095
IT,2010,16704.0,44818.0,4986.0,64444.0,,,,,61107707.0927182,105047.33668476298,302073.0,273.3534081822963,55.29789156925644
IT,2011,16726.0,60186.0,3624.0,78932.0,,,,,60949300.920800015,94728.40117755838,302073.0,274.4248046705973,55.37072164675426
IT,2012,16742.0,59948.0,3980.0,74494.49949442773,,,,2063.973108029376,60790894.74888183,84584.41502274414,302073.0,275.403085760766,55.42368897584359
IT,2013,16752.0,61267.0,3586.0,78194.0,,,,,60632488.57696365,74686.69740865563,302073.0,276.2875216433827,55.45679355652442
IT,2014,16722.0,62993.0,3564.0,79748.0,,,,,60345917.0,,302073.0,277.1024260017459,55.357479814481934
IT,2015,16724.0,62648.0,5837.972606497418,80598.70622099431,,,511.2184585534917,1978.529959899761,60295497.0,,302073.0,277.3673131842665,55.3641007306181
IT,2016,16788.0,86911.0,5352.0,92263.0,,,,,60163712.0,,302073.0,279.038633786426,55.57597004697541
IT,2017,16787.0,86889.0,5675.0,84668.1773720387,,,,2272.578933289407,60066734.0,,302073.0,279.4724947089682,55.57265958890732
IT,2018,16781.0,87962.0,6153.86642211608,86702.9129475609,,,561.2385149008204,2496.7425198382416,59937769.0,,302073.0,279.97371740679904,55.55279684049882
IT,2019,16779.0,85671.0,6028.0,88737.64852308307,,,,2756.6088125921274,59816673.0,,302073.0,280.5070753433579,55.54617592436266
IT,2020,16782.0,82039.0,6660.0,88699.0,,,,,59641488.0,,302073.0,281.38130960112863,55.55610729856691
IT,2021,16832.0,92432.0,6469.76023773474,92807.11967412746,,,736.1695259000173,3349.2405430351264,59236213.0,,302079.0,284.1505077308031,55.720523439232785
IT,2022,16829.0,95384.0,8321.0,94841.85524964966,,,,3670.2538535185154,59030133.0,,302079.0,285.09168359827345,55.710592262289005
IT,2023,16832.0,87827.0,7512.0,96876.59082517184,,,,4002.521107549561,58997201.0,,302079.0,285.3016704978936,55.720523439232785
IT,2024,16861.92501862119,87461.0,7066.0,94604.0,21.348489628480884,,,,58971230.0,,302073.0,285.9347688461168,55.8206957213031
PL,2008,20196.0,145750.0,71682.0,217432.0,,,,,39268668.94773451,330302.42552372813,311928.0,514.3031465334439,64.74571054858814
PL,2009,20360.0,49290.0,126860.0,176149.0,,,,,39113741.22521319,302672.1469765741,311928.0,520.533177400982,65.27147290400349
PL,2010,20228.0,131064.0,42225.0,173289.0,,,,,38958813.50269187,275294.0409285397,311928.0,519.2149909442786,64.84829832525455
PL,2011,20228.0,163944.0,60911.0,224895.0,,,,,38803885.78017055,248251.5529718289,311928.0,521.2879997275132,64.84829832525455
PL,2012,20094.0,162465.0,47209.0,209867.0,,,,,38648958.05764923,221667.5490501253,311928.0,519.9105230735472,64.41871201046395
PL,2013,19328.0,163724.0,43550.0,207364.0,,,,,38494030.33512791,195728.93301108893,311928.0,502.1038283528899,61.96301710651176
PL,2014,19240.0,161028.0,41383.0,202535.0,,,,,38017856.0,,311928.0,506.0779860915881,61.68090072067913
PL,2015,19231.0,161412.0,34349.0,195822.0,,,,,38005614.0,,311928.0,506.00419190701666,61.6520479084917
PL,2016,19132.0,164081.0,36204.0,200628.0,,,,,37967209.0,,311928.0,503.9085174788592,61.33466697443
PL,2017,19209.0,189358.0,43790.0,233980.0,,,,,37972964.0,,311928.0,505.85990601102407,61.58151881203354
PL,2018,19196.0,197481.0,43658.0,242040.0,,,,,37976687.0,,311928.0,505.4679993544461,61.539842527762815
PL,2019,19359.0,187956.0,40730.0,229628.0,,,,,37972812.0,,311928.0,509.81212558079716,62.06239901515735
PL,2020,19383.0,177979.0,35276.0,214213.0,,,,,37958138.0,,311928.0,510.64148615509015,62.139339847657155
PL,2021,19287.0,192914.0,38679.0,233130.0,,,,,37073357.0,,311928.0,520.2388335105451,61.83157651765792
PL,2022,19355.0,195859.0,38383.0,235190.0,,,,,36889761.0,,311928.0,524.6713308877224,62.04957554307404
PL,2023,19539.0,192470.0,31894.0,237008.5527160045,,,,9103.052285193802,36753736.0,,311928.0,531.6194250293357,62.639455258905905
PL,2024,18999.400026687857,181102.0,35169.0,239999.93847660016,170.98783260535225,,,9995.322030368328,36620970.0,,311928.0,518.812036565057,60.909568960426306
