STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,consign,Type of consignment,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TRN_FUL,Full train load,THS_T,Thousand tonnes,LT,Lithuania,2017,,0,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TRN_FUL,Full train load,THS_T,Thousand tonnes,LT,Lithuania,2018,,0,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TRN_FUL,Full train load,THS_T,Thousand tonnes,LT,Lithuania,2019,,0,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TRN_FUL,Full train load,THS_T,Thousand tonnes,LT,Lithuania,2020,,0,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TRN_FUL,Full train load,THS_T,Thousand tonnes,LT,Lithuania,2021,,0,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TRN_FUL,Full train load,THS_T,Thousand tonnes,LT,Lithuania,2022,,0,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TRN_FUL,Full train load,THS_T,Thousand tonnes,LT,Lithuania,2023,,0,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TRN_FUL,Full train load,THS_T,Thousand tonnes,LT,Lithuania,2024,,0,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TRN_FUL,Full train load,THS_T,Thousand tonnes,ME,Montenegro,2017,,1568,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TRN_FUL,Full train load,THS_T,Thousand tonnes,ME,Montenegro,2018,,937,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TRN_FUL,Full train load,THS_T,Thousand tonnes,ME,Montenegro,2019,,1097,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TRN_FUL,Full train load,THS_T,Thousand tonnes,ME,Montenegro,2020,,1119,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TRN_FUL,Full train load,THS_T,Thousand tonnes,ME,Montenegro,2022,,1346,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TRN_FUL,Full train load,THS_T,Thousand tonnes,MK,North Macedonia,2009,,0,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TRN_FUL,Full train load,THS_T,Thousand tonnes,MK,North Macedonia,2011,,0,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TRN_FUL,Full train load,THS_T,Thousand tonnes,MK,North Macedonia,2012,,0,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TRN_FUL,Full train load,THS_T,Thousand tonnes,MK,North Macedonia,2013,,0,,,,,
