STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2014,,112629,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2015,,114341,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2016,,135875,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2017,,126897,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2018,,127620,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2019,,128545,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2020,,109219,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2021,,123935,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2022,,128637,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2023,,129090,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2024,,126320,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2008,,1866,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2009,,1700,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2010,,2239,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2011,,2614,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2012,,2278,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2013,,2449,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2014,,2453,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2015,,2603,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2016,,2616,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2017,,2653,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2018,,2594,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2019,,2525,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2020,,2450,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2021,,1986,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2022,,2211,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2023,,1906,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2024,,1802,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2008,,5943,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2009,,5947,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2010,,6638,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2011,,6271,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2012,,5129,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2013,,4722,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2014,,3256,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2015,,3117,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2016,,2340,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2017,,2325,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2018,,2588,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2019,,2155,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2020,,1729,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2021,,2124,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2022,,1286,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2023,,771,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2024,,595,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EL,Greece,2008,,786,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EL,Greece,2009,,552,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EL,Greece,2010,,614,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EL,Greece,2011,,352,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EL,Greece,2012,,283,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EL,Greece,2013,,237,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EL,Greece,2014,,311,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EL,Greece,2015,,294,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EL,Greece,2016,,254,,,,,
